产品url ,  asin ,  星级 ,  评论数 ,  品牌 ,  标题
https://www.amazon.de/dp/B072SS9WRT , B072SS9WRT , 5 , 5 , NAWINNER , 2 flexible Kupplungen， 5 mm auf 8 mm， NEMA 17， Schaft für RepRap 3D-Drucker oder CNC-Maschine
https://www.amazon.de/dp/B00JE5X3D8 , B00JE5X3D8 , 5 , 5 , AYAGROUP , Aya 25 Ft (25 Füße) DB25 Stecker auf Centronics 36 Stecker Parallel Drucker Kabel
https://www.amazon.de/dp/B072FRQPFK , B072FRQPFK , 5 , 5 , Hizek , Steckdosenleiste， Hizek 4 Runde Steckplätze 4 USB Ladeport für Smartphones， Tablets und USB Ladende Geräte und andere Elektrogeräte usw. -- weiß
https://www.amazon.de/dp/B06ZY4X8JJ , B06ZY4X8JJ , 5 , 4 , GMHO.co.uk , SAT-Koax-Kabel Verlängerung Typ F vergoldet
https://www.amazon.de/dp/B00NT51FR0 , B00NT51FR0 , 5 , 3 , Golden Power , Batterie Golden Power V27PX Alkaline Photo， Alkaline， 6V
https://www.amazon.de/dp/B000NRYU9M , B000NRYU9M , 5 , 2 , Hama , Hama USB-Stick-Tasche
https://www.amazon.de/dp/B07FRBD6CP , B07FRBD6CP , 5 , 1 , RQTX , Neu MacBook Pro 13 Hülle 2017 - RQTX Laptop Zubehör Taschen Plastik Hartschale mit Transparent Tastaturabdeckung für Apple MacBook Pro 13 Zoll mit/ohne Touch Bar Modell A1706/A1708，Palmblätter dunkelgrün
https://www.amazon.de/dp/B07D16F2FY , B07D16F2FY , 5 , 1 , CUBOT , CUBOT R11 Entsperrt 3G Smartphone 5，5 Zoll 18: 9 HD-Bildschirm Android 8.1 2 GB 16 GB 13 + 2MP Dual zurück hinten Kameras 8MP Frontkamera Fingerabdruck Mobiltelefon (Blau)
https://www.amazon.de/dp/B006J37G7M , B006J37G7M , 5 , 1 , Pollmann , Überspannungsschutz-Adapter， Schutzkontaktsteckdose
https://www.amazon.de/dp/B004Z62R5G , B004Z62R5G , 5 , 1 , MANAX , Geräte-Anschlusskabel |Eurostecker - Doppelnut-Kupplung|10m
https://www.amazon.de/dp/B07CG71WN3 , B07CG71WN3 , 5 , 1 , TopACE.DE , Huawei Y6 2018 Panzerglas，TopACE Huawei Y6 2018 Vollabdeckung Schutzfolie 9H Härte Displayschutz Panzerglas für Huawei Y6 2018 (Schwarz)
https://www.amazon.de/dp/B004BUBO32 , B004BUBO32 , 5 , 1 , CHERRY , Cherry Evolution Stream XT Tastatur Schweizerisch grau
https://www.amazon.de/dp/B00P2G50ZM , B00P2G50ZM , 5 , 1 , Adesiviamo , Adhesivo Biancaneve Snow d blanco nieve Snow-white 2 decal sticker for apple mac macbook tutti i modelli
