产品url, asin, 星级, 评论数, 品牌, 标题
https://www.amazon.es/dp/B0012SQSYQ,B0012SQSYQ,5,490,Live2Pedal,Live2Pedal - Cable de Carga USB (3 Unidades) para teléfono X/8/7/6s/6/SE/5s/5/iPad y Plus (8 Pines， con Datos/Audio/vídeo)
https://www.amazon.es/dp/B003ILJ4ZA,B003ILJ4ZA,5,490,Live2Pedal,Live2Pedal - Cable de Carga USB (3 Unidades) para teléfono X/8/7/6s/6/SE/5s/5/iPad y Plus (8 Pines， con Datos/Audio/vídeo)
https://www.amazon.es/dp/B0050BNKRE,B0050BNKRE,5,99,Besiva,Besiva - Auriculares de Diadema para iPhone 6S， 6 Plus， 5S， 5C， 5， 4S， E， iPad， iPod 7， Todos los Auriculares de 3，5 mm
https://www.amazon.es/dp/B07L3H5N9G,B07L3H5N9G,5,99,VICTONYUS,Dongle de visualización WiFi para TV， 1080P Wireless Dongle， HDMI de Alta Velocidad Miracast Dongle para Android/iOS Smartphone Tablet
https://www.amazon.es/dp/B07FSG1DJ6,B07FSG1DJ6,5,73,Eleston,Eleston - Reproductor de música digital (8 GB， MP3， radio FM， grabadora de voz， reproducción de vídeo y tarjeta micro SD ampliable， 80 horas de reproducción y sonido HIFI sin pérdida)， color blanco
https://www.amazon.es/dp/B07L5491ZB,B07L5491ZB,5,59,VICTONYUS,Dongle de pantalla WiFi de alta velocidad HDMI Miracast Dongle para Android/iOS-C18
https://www.amazon.es/dp/B00F38FAYU,B00F38FAYU,5,49,CYQBD,N2QAYB000222 mando analógico (no es original) Panasonic
https://www.amazon.es/dp/B00NXQTN60,B00NXQTN60,5,49,CYQBD,Micrófono de 3.5mm para GoPro
https://www.amazon.es/dp/B07JGR2BBW,B07JGR2BBW,5,44,Topffy,Android Smartwatch Bluetooth，Impermeable Reloj Inteligente con Cámara，Bluetooth Tactil Telefono Smart Watch Sport Fitness Tracker Smartwatches Pulsera Inteligente para Android IOS iPhone Samsung Sony
https://www.amazon.es/dp/B07KGBRMXD,B07KGBRMXD,5,36,Robesty,Auriculares Bluetooth，Auriculares inalambricos Bluetooth Auriculares Cascos Bluetooth inalámbricos Mejores Auricular inalambrico Deportivos Estéreo Auriculares con microfono para iPhone Samsung Huawei
https://www.amazon.es/dp/B07JNC75MZ,B07JNC75MZ,5,23,Muzili,Muzili Auriculares Bluetooth Auriculares Bluetooth Inalámbricos IPX5 Cascos Deportivos Audífonos con Estuche de Carga 500mAh Más de 20 Horas de Trabajo con Caja Micrófono Integrado para iOS y Android
https://www.amazon.es/dp/B07KXTFGPX,B07KXTFGPX,5,18,Toshaan,Disco Duro Externo， Toshaan Disco Duro Externo 2TB para PC， Mac， Desktop， Laptop， MacBook， Chromebook， Xbox One (2TB， Negro)
https://www.amazon.es/dp/B07KXS1TGT,B07KXS1TGT,5,18,Toshaan,Disco Duro Externo， Toshaan Disco Duro Externo 2TB para PC， Mac， Desktop， Laptop， MacBook， Chromebook， Xbox One (2TB， Azul)
